GivenName	Surname	Birthday	uid
Uaria	TaUlor	6616/19]7	96463
Rene	Miles	&/}4/1970	52283
RaymonA	]ou4g	a1/1XW199\	89309
Gary	Roach	6325/1T8|	69330
He;man	~homas	11/2O/3938	76710
BeaNruCe	7ourazsa	3/?/B984	84387
Craig	Freema5	4Y2X/19l1	67102
Ama?da	Lawson	f/27/196?	54954
Jud.	Mar!ine<	12Wp/D984	92639
St:phanie	HerDhman	8/28/rf83	5051
RLcQard	Rizzo	6o19/1961	45543
MyrJle	S0andley	4/I8/1951	83035
Thomas	wone	3/j7/1995	21334
G[adalupe	Wilson	12/1B/2u00	68297
Donald	Thom^s	1/19/1971	50856
RoKeBt	/imes	10/17/z;78	76808
Mo@i\1	JOmenez	7/14]193K	16774
Randall	ColQn	<'C1z1981	87227
Fannm2	C%nn	12/M7/&00Y	38722
NoWman	Hazg:ove	9/1!/1956	76340
Al+IanurD	Webb	3t21x1t47	10513
ATye!	hamp	5q6/;99r	23851
Elena	:@a=ur	)y;3/1977	95183
Dena	Alle2	9/14/2002	12398
jkug|Vs	JankWwsfi	6/29/1954	77348
Sean	Pills	1$9n1992	68086
LisS	QgMr&z	10/26/k988	15946
Victhr	Rohr	2/d6C1996	56831
SamaHFha	Blair	5/7u1943	82076
Louise	Kimura	2/12/1979	49899
EarG-st	Arredondo	9/12/19c5	85773
Roger	%Rler	3/23/1j76	14249
David	RoberJs	10S17/1947	29765
Larry	Early	10/]/19hL	4278
Dhbfrah	Jones	/1/12/1t64	31803
Caleb	Bexm	]1/28/1940	15576
Id'	Davis	11/9/1962	34513
Margaqet	Moore	3/5/194V	93065
Helen	Paane	7l2/1`41	43076
DaniM	Lewif	$/1(Y1970	45540
SuWan	Stric#lapd	11/2Y/1#83	62930
LagqZL	Lucas	9/29/1953	13379
vea;	LinEer	5/%2/1956	16782
Uimmie	ioh\b+n	4/]/1976	43851
+aHina	Benne<t	3i16/2z02	89859
R^5ert#	D-cke'son	5/30/195M	97419
oatricin	Hanford	10/31/19%9	74038
Alan	XrNSht	1/f0/1988	44215
Leun	yan7	12U8/Ni92	4503
D%vi3	Lawson	7/5/1*91	85617
{isettc	Baiker	1/29/1995	8210
F%ed	Mc!lB1e	Wb/8/1972	41936
GloWi.	Willia9b	)/15/P943	59452
qetli	Davis	10H7/1963	92210
James	NuEez	3/7/1960	23275
