GivenName	Surname	Birthday	uid
James	Banks	4/21/1986	67370000
Eugenia	Johnson	10/22/1999	69490000
Bessie	Pressley	1/16/1947	48240000
Cynthia	Sisneros	7/23/1982	27390000
Dewey	Salcedo	4/3/1973	43870000
Jacqueline	Smith	12/15/1954	23770000
Norman	Johnson	4/26/1975	25660000
Christopher	Alcala	3/3/1969	11880000
Irma	Arias	12/27/1985	75120000
Christopher	Beane	2/15/1967	74860000
Iva	Lay	3/23/1992	15490000
India	Parrish	5/8/1987	4680000
Sylvia	Bass	3/24/1998	42230000
Jose	Aragon	8/5/1979	1550000
Ronald	Rutledge	1/10/2002	23240000
Esther	Mackin	2/18/1985	90170000
Andrea	Bowman	11/16/1995	47180000
Stephen	Garcia	11/7/1942	6360000
Jessie	Daly	10/6/1979	69790000
Lillian	Fenn	7/28/1981	80720000
Carolyn	Fauntleroy	10/6/1940	39000000
Michael	Brown	1/1/1956	92390000
Wesley	Kennedy	2/18/1955	78030000
Ruth	Cotton	10/4/2001	59530000
Michael	Savage	7/14/1941	93090000
Alex	Cherry	10/17/1951	51390000
Marc	Faust	11/24/1986	26560000
Claude	Pons	12/23/1952	22510000
Howard	Bittle	8/10/1946	65880000
Belinda	Aparicio	11/24/1967	49510000
Kevin	Sparacino	11/25/1973	17090000
Donna	McCarthy	9/10/1969	73110000
Betty	Gravatt	4/7/2000	87700000
Sabrina	Hall	6/11/1963	95600000
Chelsea	Bradshaw	12/3/1957	16300000
Ethel	Weisner	5/1/1974	65710000
Thomas	Towell	9/18/1965	4200000
Rick	Reid	3/15/1958	48160000
Rocky	Gilbert	9/19/1954	24820000
Carole	Burnett	11/27/1944	83950000
Clarence	Moeller	3/12/1943	40510000
Shane	Perez	2/16/1998	7350000
Terry	Lazarus	10/9/1956	95780000
Clara	Faulkner	3/15/1989	47950000
Richard	Mendoza	12/23/1969	3050000
Gary	McLean	8/1/1976	6350000
Kevin	Dillow	11/2/1959	76240000
Mark	Turner	3/27/1977	42770000
Louis	Hunsinger	9/21/1950	62750000
Wanda	Williams	8/2/1989	44500000
Francisco	Claborn	1/29/1944	95710000
Susie	Williams	4/6/1948	88670000
Charles	Geer	7/31/1953	1640000
Theresa	Jamison	8/24/1996	59380000
Victoria	Pina	9/10/1966	19820000
Robert	Miller	4/28/2004	23390000
Amy	Potts	2/27/1953	38920000
Miguel	Smith	6/30/1951	1390000
Blanche	Rowan	4/22/1979	20700000
Carmen	Fox	1/10/1959	84630000
Mary	Purcell	9/26/1957	31000000
Peggy	Terrell	1/24/1997	99710000
Jane	Turner	9/27/1968	65470000
Richard	Holly	3/22/1990	57620000
Eric	Preston	1/16/1961	92480000
Jean	Black	4/15/1975	23820000
Marie	Green	6/25/1954	71090000
Inez	Pratt	12/6/1946	27140000
Gail	Sutton	4/2/1973	60930000
Michael	Skinner	5/9/1980	19640000
Beverly	Myers	8/16/1988	95280000
Claire	Kent	7/4/1982	95890000
Ralph	Howard	12/25/1965	57730000
Terry	Holler	7/9/1984	6020000
Margaret	Barfield	7/1/1961	73590000
Grace	Snowden	5/27/1972	19750000
Elisha	Huffman	12/2/1949	31180000
Tracy	Washington	3/13/1972	18540000
Jonathan	Waddell	8/6/1990	13670000
Harry	Crosby	12/29/1952	74340000
Michelle	Samaniego	1/23/1972	14120000
Pierre	Ramos	9/11/2000	59440000
Elizabeth	Abraham	7/16/1958	38910000
Suzanne	Wilson	6/30/1961	95010000
Stephen	Viera	8/7/1992	25570000
Rickey	Reynolds	7/3/1941	94510000
Christine	Roman	3/17/1955	5120000
Sarah	Smith	2/22/1999	3570000
Michelle	Jones	8/9/1985	6760000
Edward	Rawlins	10/22/1945	73140000
Melissa	Howard	10/7/1940	93810000
Sarah	Broussard	12/28/1989	2400000
Monica	Rodriguez	5/22/2001	73080000
Frank	Raleigh	12/4/2002	75170000
Kristin	Mullins	9/1/1993	28250000
Geraldo	Erickson	2/15/1984	30550000
Brandy	Disney	11/3/1969	5910000
Alan	Thomas	12/6/1991	15750000
Guadalupe	Jones	7/8/2004	50690000
Dennis	Camp	9/23/1992	47710000
Robert	Sanchez	7/23/1972	22350000
Joselyn	Rondeau	10/27/2003	23470000
Matthew	Brown	6/4/1984	62350000
Lorene	Connolly	1/30/1956	21560000
Dolores	Madison	7/20/1966	83890000
Edmundo	Elston	1/31/1980	2510000
Mary	Booher	5/23/1946	31560000
Norman	Powell	10/20/2000	12170000
Arthur	Levesque	1/12/1976	78740000
Ron	Warren	7/26/1996	19230000
Therese	Dick	10/2/1953	61090000
John	Blakey	4/11/1991	78520000
Barb	Moss	10/11/2000	44700000
Walter	Heroux	1/18/1942	55000000
Sandy	Barboza	12/21/1983	84450000
Dustin	Cruz	5/2/1950	50440000
Ella	Tetrault	7/7/1964	43590000
William	Engel	8/25/1949	97830000
Ann	Killgore	5/17/1976	95220000
Fred	Viverette	5/21/1948	86940000
Catrina	Harrison	2/15/1984	98820000
Malcom	Cornwall	3/17/1976	61580000
Christopher	Nickle	4/21/1959	80050000
Anna	Biddle	8/10/1938	54190000
Tricia	Adkins	6/7/1998	22340000
Dana	Conway	9/30/1993	42440000
Paul	Farris	1/15/1988	85680000
Roger	Thomas	11/14/1945	34560000
Stanley	Hoglund	11/11/1977	93200000
Matthew	Coffman	12/10/1979	84380000
William	Steele	2/7/1960	93470000
Susan	Valdez	11/22/1958	50780000
Oscar	Bates	1/26/1957	73310000
Robert	Hawkins	7/7/1993	58700000
Michael	Schlegel	5/10/1996	58510000
Brenda	Stevenson	7/6/1952	62770000
Toby	Hubbard	4/10/1993	35320000
Margaret	Jensen	11/19/1967	84530000
David	Joshi	4/16/1980	15420000
Etha	Turk	2/17/1939	95450000
Bruno	Washburn	6/18/1977	9160000
Bridget	Marques	1/4/1958	85180000
Leonor	Gonzalez	6/29/1981	10340000
David	Foy	6/11/1968	69740000
Shirley	Taylor	5/8/1988	85610000
Marie	Paul	4/14/1942	68970000
Kevin	Heinrich	3/11/1972	71110000
Amber	Harrison	11/26/1977	39750000
Dominique	Jackson	8/18/1998	61950000
Gerald	Richards	2/1/1982	41620000
James	Gibson	9/27/1987	50840000
Frank	Hunter	3/4/1961	40250000
Fumiko	Aguilar	4/24/1994	99580000
Barbara	Mosley	10/16/1977	15400000
John	Pincus	4/24/1975	15960000
Joseph	Kramer	1/28/1949	63580000
Michelle	Mathison	7/10/1970	700000
Robert	Baker	10/12/1942	48670000
Bobbie	Acree	5/5/1979	14410000
