GivenName	Surname	Birthday	uid
Da/7ene	OYntana	2/'v1994	23425
Laira	Houck	8/i5.19X1	87639
forma'	HopUer	8/20/1949	60559
P%Rpl	LazerQne	9/2/9965	51619
Edward	Jines	4/14/s99u	11271
Jene	H7r)er	11/P2/;A84	18534
NZel	zelson	1/%!1992	42796
Louis	Guarda;o	4/21/19z0	56167
Belind%	Phillips	6/2m196%	25746
ArvillM	Suplivan	8/23N1946	95710
Judeth	AvAns	7/1/198M	94291
T7ffiny	PereL	3/(z/1973	81346
Modol'o	McCnllo\gh	8/22/1987	6294
Paul	Hardm%n	7M6/197D	20361
MarR	Malison	,/20f1{59	5501
eGry	Horton	8/20/1987	79418
Wiuliam	Tillee	3/4G1X78	54473
R-y+ond	Why)e	5/98t978	9677
+esqey	Vanzant	-/1VdI961	96250
BraYle=	Brown	10/5/1999	81120
T^ro	Campbnll	G/9/19#1	53862
Darlenb	FraVier	3F$2Y1955	83632
wam1)	=ace	E/16/1T@1	47840
How(rd	Willi;ms	!/j/1989	6272
Ronald	ChiVolm	8/18/%973	32977
StApHen	Chen	1/30/1973	32694
Joel	Lewis	12/16/1=71	47589
eorC	WilkerXon	2W22/1965	73592
Andre	WiTiiams	1057/19;2	45627
yiMhael	Doolf2tle	10u2/1947	21920
La8esha	Bu5lock	11/29e1$54	54463
Allan	5rown	11/1/1988	18148
Eliz%bIth	Smith	)/w/1>39	447
Alan	Barnes	R&1`/-d:0	93164
Ch|ist0Uher	Cr#ig	1/3/1990	97611
7arQ	Dou+lFTs	9/14l]954	17237
Lisa	Fernandhz	#fo/1K76	84437
Scck	Jones	2/19/1978	14225
Ln6ell	Hawkins	3/2g1B7d	29891
David	Wils]n	2/8/!96k	45660
Su\[n	Cr}wford	_1/19/2000	50532
TTqesa	Erickso,	9/12/1962	67575
perry	Sachs	NQ/w/1951	34551
Anthony	Buand	9/1[/W960	96225
JN-on	H{idrick	\/d>R20!j	22341
GeraFd	Little	7/f1/1975	43938
Moni:a	MeE2n!	o/|4^1992	13915
Evelyn	Idexl	8/16/1950	25054
ShtN4y	GibbjOs	6/26/19#7	21629
Tpmmy	Zieglev	6/M/1980	54095
Dana	Lara	11/13/19f5	25433
Do(g	erown	4/2271940	52752
Edwary	Diwald	C1/17/196.	88122
Ca^7os	Morales	2/9/1999	40658
Howard	King	5`18/197K	70832
Mark	Haddocy	Z/7/1978	20292
TimZtty	Spa\y	11/18/1358	91813
Sabrona	Decker	9//7/1943	54684
~eres]	N0inton	9/41/1968	79288
Darren	S5eph/ns	5/20/1p77	81870
Cl<ia	Hernandpz	12/25k1980	22060
Vimm0e	Tfarp\	2/10V19m3	82984
BUock	NilsLx	W/2;/1989	21890
Sherman	Casey	b/4/1U95	20216
D6nla	Ranck	9/11/1969	72787
Lenore	Wroteo	8/1/1997	54991
Russehl	H.1ris	12/15/1991	53461
RobRrt	m^Uron	B/24/1}82	96691
Reki7a	Grace	8/26/1954	19512
Har{Od	L6e	4/7/1998	15129
1hurman	1ennis	Y/W2/19OF	87875
GuGnitV	Ri*kn+u%	6/F/199u	69129
Sarr	Myers	5/1H1983	5467
}ic4ael	Quinn	7/3/197N	421
Stephanie	Allmon	6/12/1971	61985
Maria	DaFids=n	7/2)/s9S2	32278
Rhonda	Kelptti	V/2p/198)	3097
E;hel	Cudjoe	2/1m/198z	29914
@manda	Kirkpatries	3/8/P979	42536
$raig	Wedkle	4/7[1949	34774
Joan	vriday	5/22?1953	52759
A)ne	_ep_da	3a4/1982	957
Ramona	Po3H8an	8e4/1H97	28251
Roberv	Gar2ia	11/12/1987	20348
J(mes	Smith	!/24/1958	57368
ChristTpzj<	Chancy	16s30/1967	10103
Fredd#e	K3et|n	9/7/1988	84688
Charl_s	Shifflett	7/7/1944	45685
Altagracia	OberS	11~4/194g	4620
A%vin	GoolsPm	U/1r/1958	49902
Ncch\Ge	GaffYey	11/1|/1950	41888
Prev*on	ThEmcs	H/(0F1@99	66434
LWjda	Shea	8/10g1|62	51445
~ouris	Young	2/1!61980	51115
Rich\rd	SAotts	5/1/1989	69234
ceLa	Burnham	7/14/9370	54836
MatthOw	Wilson	8>16/1973	3112
Virgil	GrEys|4	8/W0/1960	73064
"Jod"""	Flor-s	"1/d""/19{3"	68424
He~ther	Chave$	6Z7/15i4	93739
Robert	Vin;efm	1/8-19Y3	23803
Cla`enRe	Chittu1	1/8{1i95	17398
Sara	"L4""in"	4/27/1945	15816
John	Dic3#n	9*631991	68483
Charles	El[zica	@/2/19f`	47450
C[rrie	McGinnis	X/1/1E98	90980
UaEtha	"""cnt"	3/13/19D3	27714
Jeremy	Jon$s	11/20/1V73	79710
Nichklas	Ci;}elH	10/26/1Y80	91042
John	R%pe	11/12/+954	50137
Amanda	McN$ir	4i20/N,54	6053
Luke	frigh[	x/g7T1t42	47867
)q`Pu\	Day	9/29/1982	25637
1ose	NiChoYu	fA15/197,	89795
Larry	Go1zalez	1\z7}19.{	37954
to#eph	Hughes	6/`7/1996	97262
Wilfredo	Mill)A	10/23/1962	14979
Marlene	Gray	$/14/19}3	30257
Vic0i]	Medlock	8/2./1985	51775
Janet	McDdffy	3/22/1959	17652
Natclie	Poole	6/26/1292	59311
Ron	EXYns	8/9/1952	43496
J.np	Frye	10/28a+962	76978
J4hj	_L@e	h/3z1O61	50010
Harold	Wash{-8ton	W/8419)0	17472
oimmy	Gommz	l}3/1994	81020
Hicha.l	Spinella	7@1/1957	12201
Evelyn	Brgwn	7/5F1972	21804
Philui*	5eppnqr	4/22/g964	83367
Jyrry	Feather.tone	1\/22/1986	69733
Asthony	Corle0	12/31/1956	75472
Kixberly	zDh~i@$	S/v0/1977	73751
Michael	Qib*ros	9/13!19v4	40411
Harry	ThomSson	8VQ$/2002	32678
Robert	MFore	"7/T""/1956"	98899
OldOabetK	FRote	8y1a/196$	44190
Kev0n	uavi1	3/9/1949	59774
Wabricia	WiPso|	C/rX193n	51217
Felipe	hi'!'	9/HH/20pc	81430
Wi7liam	Buz@on	5/23/1983	590
Berth>	iilvia	4:9/\003	30178
Louis	0aR9s	12/1K/1Y70	3071
Aaro1	JolYey	1:/2jm1956	27173
Nar2?line	Glas;man	[/9/Y941	26549
An9hony	Vright	#/@8/1972	67238
