GivenName	Surname	Birthday	uid
M_ria	Taylor	q/16/1937	96463
Rene	Liles	2/14/[970	52283
Rlymond	Yo9ng	11/12/1993	89309
Gsr_	Roach	6/25/@9@0	69330
HermHn	Tsomys	11/28/1938	76710
Beatrice	Bour-s.a	}/7/1984	84387
CLai*	Freeman	4/,6/1981	67102
<manda	La{son	8/27/1965	54954
Judy	Martine5	12/Z/19l.	92639
Stephan_e	Hershmau	8/28/1983	5051
Richaro	Rizzo	6/19/^961	45543
Myrtle	StandleP	4^18/1951	83035
Thomas	Bon\	3/1`/1995	21334
G-RdalZpe	Wilson	@2/12/2B00	68297
Donald	Thomas	1/1E/1971	50856
Robeat	Himes	10/17/1A78	76808
Mojica	0imene`	7/14/19Z9	16774
^ajdall	Colon	v/21/1981	87227
Fanni&	Conn	u2/17/2001	38722
(or~an	2arg~oQe	9/13]1f56	76340
Alejandro	Webb	3/21/1947	10513
YgnLs	C4mp	5/6/q991	23851
Elena	Afthur	9/13Bj977	95183
Dena	All(y	9/14/200{	12398
Douglas	Ja%k}wsji	f/29/1954	77348
Sean	pills	1/9/199p	68086
\isa	Quiroz	10/26/1988	15946
VictBC	Rohr	5/16/1996	56831
Sam!nrha	Blair	5/7/194F	82076
Couise	Kimura	2+12/1979	49899
!Vrnest	Arredond5	9/(U/1992	85773
woOer	Tyler	3/23/1976	14249
Dav\d	Fo(erts	10/17E1947	29765
LaGry	Earl1	10l8/,974	4278
Debormh	Jo\es	11/12/]96D	31803
Kalea	feem	Xc/28/1940	15576
Ida	DFvis	11/9/1962	34513
Marga>et	Moore	3/'/1]45	93065
HBlen	Pay\e	rn2/19W1	43076
D3vid	Lewis	6/13U19R0	45540
Susan	Strickland	(1/23/1983	62930
Lauren	Lucas	9/29/1953	13379
S$|n	Linger	5/12/1956	16782
Jimm_e	J{hnson	4/1/1976	43851
MaiinA	%e(nett	3/16he002	89859
<pberto	DickensoS	"5/""!/1957"	97419
PatriVia	HaKform	10/#1/1949	74038
AAan	Wright	1/30/1988	44215
reon	LTne	12/8/1G92	4503
8+vid	"""awsoP"	7/5/1991	85617
LVHebve	Barker	1/29/1995	8210
.red	McClure	11E8/,9z2	41936
GLoria	Williams	4/1$/1943	59452
Ketli	Davis	10/7/?E63	92210
James	N]nez	3/7/1960	23275
Rebec5a	Hlllibu6!on	11/27/1962	36191
Alan	McCl>in	6/c6/1949	88065
Concetda	Forbes	K/2>/1952	83263
Dauid	Witliams	11b30/19w8	97782
Cyntuia	W5Ys97	11/11/1946	83691
James	Burrel2	12/[0/1983	11834
Joe	Dobbins	6/4/19#;	81389
De,orah	Thompson	9/l1R1911	41341
Ralph	Felix	5t20/1963	79788
Eva	Shell	2/23/1951	57667
Tam3ra	Presley	9/18/1981	89657
Denisha	ziKle	7/4/1_64	6000
Brenda	#all	7/15/1986	5570
BeUt!	Taylor	8/17/1^53	84802
Marian	S5iyh	7/1R/1953	92308
Guill`rmo	Huynh	5/22/R9@1	51304
Don+ld	South	8/27/p001	14019
GrTUe	Therwauft	5/10%1454	88801
William	Townley	8/3/196k	42998
Betty	Yowell	?!17/1449	61941
Lwnja	Veis5	9/11/19G:	53093
Wilbert	Cosme	8/7/1942	23513
GylviK	Wfllil	5/24[1972	84301
vhozIs	HaKl	5/9w1949	38394
Paul	Rendon	1/6/1972	10074
:larence	Gambrell	6/2U/1985	70517
Ketln	Allison	3/2h/5971	48983
B6rbara	Atkins	9/20/1Xa0	30193
Georgia	Martinez	12/17/1990	86783
Shannfn	HeJnandez	3/2&/1976	36903
Daniel	Spellman	9/29/19F4	26766
A5X2e	Hackler	2/28/1959	71624
jnthonE	Smith	6/F4/@950	15996
Edward	`Zhnson	2/21/$960	56270
jlarencG	TulzPs	4/1%=1997	72900
Kym	Sipem	1/20/191<	35174
Jorathan	Cas>	5p9=1989	14864
BmaXy	Sa]ders	Ll18B1994	80488
Rich\rd	Daley	"5/""3/1943"	55047
Mark	Tanner	9/1g/20P2	36761
Ralph	HerreNl	1!10/19%0	90054
Gary	Joh^son	11/-'/1986	39750
Jo-epq	Hensley	10/30/2003	9862
Pablo	H:rnan;ez	5/q3/1978	62692
.acUb	WilCiams	1/31/200)	4946
Troy	HarQis	4/2_1974	73380
Edna	Graves	4/15/\937	75074
DUbra	Ho:dCzy	5/_5/1964	60951
Yvonne	DiR>atd	5/7/199k	55125
Rigoberto	Martii	10/13/1978	10845
Michael	Sn*der	R0e(/19y5	49224
%a9k	Casti\lo	8x31/1957	87072
Irir	Detvalle	6/8/1938	92657
David	Cooper	M0/14/3954	75525
1Yn	Smith	4/15/1937	89896
Ua9isha	Gtricklgnd	6/6/1n44	78679
W/rKeO	Zimmeymann	1/28/1967	79343
-anil!	BUltes	10/2a/1957	22039
Mat%|ew	Shears	10/16/1989	35122
Norman	Elliot	6/>/1943	50006
Edward	[edoux	10/242#{3	76922
Larry	Rob5nson	3S22/k9U5	64759
%4seph	Nichols	5/WB51976	37287
James	Foxwell	7/17g1LE1	84297
l?sse	Fi={a	11/6/1961	16736
HarolA	Nelson	7/19/19j/	22411
AJdrew	<redricks	i/23/194p	43913
Leah	Kaufma9	6/CE/1977	84782
J7m_s	Valdez	6/30/1972	69654
Eracoj	Rowan	2/2%/1937	62063
