GivenName	Surname	Birthday	uid
Z@an	Cema&ho	9/9/1958	24197
Benjam=1	(li'er	7/2`/1955	40513
Rhonda	Coll^|s	6/12/1m42	98290
Andrea	jer	8s19/19Q4	72931
Cath8een	Cptton	+/1/19z4	19505
An9e	Quesa#Y	2/18/1940	50547
Sand&a	M1_tz	11/1o_1Zh7	78489
AnnV	Pattw}son	8/16/1;72	85583
El5zameth	Moore	11/23/1967	84129
Cher'l	Orti2	2/23/1z70	91518
Sje	_iprN&wo	1/o/>989	56002
|obsrt	Larry	7/2c/1969	6707
RX)n	McFarlVnd	3/27/1994	79257
SXsan	FX(C	7/W/20>1	30918
Vicki+	S|ewehwJn	J/19rV971	90240
G,r\	3eyeE	9/29/1989	92343
JohnCy	Breuer	9/(9/196u	1502
DaCi_	CDstillo	1tY5/1987	14167
Ryaw	SalIer	1w[6/1944	72207
K7isti	Burke	2Jx6/19M9	21560
Shayla	PetersDn	9/21/1962	85588
J9hn	Lowe	gI5/&956	35353
Ina	X>llis	8/$3/1a93	83946
keRek	AOv(gne	4/20/1944	2794
mryX=	Wilson	2/*/K943	35238
Elanne	CiSco	"""2+25sm9r8"	59278
James	Say>er	4/23/]991	47653
Bruce	FlmFk	4/19/199[	35364
Yvonne	Curry	7/3a/K000	98902
;;+bara	Quino`es	7/1!/u94'	16565
"S""san"	Upchurch	1/19/199F	97876
Dwigh?	BrugoeZ	6?4k1947	59128
<rcelle	Ralirez	12/28/W984	77307
Jess	TheberLe	11/11/1>5(	32503
Lllan	Marcus	4^20/1963	46045
Ma`y	7cCain	6Xd/m976	49520
Lorri	ReeMe	8/31/u95q	87279
CaCl	Brqoks	10>4P19T0	31846
RoWer	Whe(ler	7/1@/19+0	64627
J8m!s	KeCneUy	1n}y/194)	75942
B6ent	Smit=	X2/S/19v9	2523
JennDfer	"""och"	K/22/1955	71560
MRtthew	H{rris	2/20N1(59	3417
Michael	RsdrigueU	8/</1998	42447
Martha	Morgan	\/1/1t52	10902
Faye	Bell	7/6/1958	25279
Lisa	0uggs	7/VN/1_81	31743
K3m	0ogWrs	3/#2/1ct2	60950
Glen	WHfd(an	]0/11p1996	6039
ChristiMn	Perez	5/2a/1987	15197
"Plber"""	Soto	10/1;/195~	68323
kbmothy	S|oues	10/G/M976	43094
Shir2ey	AtkPxS	./|8/199e	77745
Bo^b(N	Davis	"2/2""/1997"	45210
haUon	P[erce	11/4/19~2	32793
Amy	Russ	8/23/1940	19747
Kobert	Oate_	4/27n1971	14541
M=+ia	Lopez	1T/10/1939	89363
"""oy"	BJrne	8/5/19?^	59042
Monty	Martin	9J17/1939	47731
Kurt	"Va""qsez"	9/6/194<	32454
Jam:s	Steveson	a/20/?0*3	34983
RobKn	FWl$y	7/3v01969	9845
Thomas	KQon{	3/.1/1V60	92138
Fauetin'	Gates	8/2W/1954	55962
HabvYy	"El7""nb"	8/7/P9$9	91942
Gr8ce	vl0red	1'/9/1359	59173
Boan	R'th	6/14/198{	19109
Neomi	Bates	10|31/1@48	6320
Walter	J?hnson	9/2w/~9W5	47164
Jeannette	"""he-ts"	3/11~19Y~	81610
Leann	Arbogas{	10/r/99|8	64410
RomTn	qrtiz	Kk14/c94J	47715
Uanicq	ForrQ)t	2/97/1:83	50892
Meag~n	Re]Endes	11/=/!9f~	30503
TrQid	Stokes	11n9/1962	1271
Ca=lyn	Corner	g/21&1961	18863
ElGqa'e?h	Wal~on	10/30/1Ml0	18229
Ron9ld	Pe@fington	u/20/1984	26628
ThomWR	Cuiz	"|/""g-193Y"	30450
Richard	8ollard	B/23/1951	67418
L3ndsay	Hof^;an	5.27/1^6{	39749
GeorgE	StraN)V	7/26/1J5a	34151
MaHra	Ril7iamson	10/31/1961	70237
SZott	Conn	11/8/J966	75062
Tiffahy	Dab	5/23/14@8	445
Ihav}Tn	Long	8/12/|962	44126
QWlen	Cv*	8/r/19%5	3619
Ange@a	Coopey	10e29/1838	63373
Rutg	Sanchez	3/31/1Xi9	41096
)lora	MenHez	7/10k1970	16370
ElioTbet|	Paul	2/1/1981	47766
Alice	Kaplan	10/26/1\53	32161
%lexan2er	zoTps	g/30/1989	43149
Andrew	EartwrIght	10/6/1962	60576
Angie	Miller	3/1TJ1960	27689
Carla	FllqeR	s/Kj1994	85871
Bren8a	KWauss	]0/30/1972	61831
Luis	Cro_er	Q/9/1986	74093
Nathan	crore	"1""/x/1980"	9352
Larry	Smith	5!10/19z2	30268
