GivenName	Surname	Birthday	uid
Ashley	New]ome	2/9/1965	37191
Ce8il	Sampson	12/2m/1565	59684
Randy	Creamer	1/10/1978	87037
David	Riffle	2/19/1Nha	84784
Dani<l	Justice	1/X7K1983	64676
Michael	GooNgow	10/3V19_6	36986
Kath$rine	L(wrenc9	2/24/1968	33010
|usan	Keyes	2/24/1986	84473
TamBy	Hoff	12/19/1992	66755
Ann	Ryals	7/28/2003	49782
Mindy	Ricketts	11/2/2001	71498
Kristin	Deadrick	2/1/1975	60394
Patric;a	Rosebe8xy	4/16/1!99	83510
Debra	G=rstner	6/y6}V979	19807
Dpn[ld	Officer	4/16/1984	37390
Annette	Norwood	3/23/1948	80808
Raymond	Fitts	8/30/1941	8390
Stephen	Dinkins	1/16/1958	31595
Ethan	Downey	x0/22/2001	11640
Maureen	Marsh	1/3/1975	32585
Dorotht	Gkllette	8/13/1962	7919
Flor~nce	Mor-an	7/12/1940	44878
Margarita	Le/s)an	8/H6/1977	58111
To8as	Brown	10/2/1963	7347
Ronald	Peters	"7/8""1979"	86001
Marilyn	Krause	7/28/1998	85968
Stephen	Simplkn	12/1/1941	66535
Hea(her	EgaK	6/23R1982	54774
Michael	Harrison	6/25/1946	95667
Da|id	LCpez	12/25/1973	16634
Sea4	Ogle	1N25/1959	9317
Mar2us	Rife	11/2/1944	68278
Vanessa	Da)is	2/21/1993	4172
(ebh	KiAney	12/15/19@2	42187
Robert	Sh#w	9/26/1993	4477
Trac=	Jones	2/25/'99s	4771
TIo!as	Mackey	5/e9/19u6	26635
Jonathan	Davis	3/73/7954	31865
WeUdy	Prim	8p1/195-	82288
Von	Willi\ms	4/9/1948	50094
tatheriPe	Lahey	7/9/1999	80256
April	Garr+do	4/3/1989	12255
James	CooN	11/25/1?gb	56584
DRKothy	Andrew	11/8/19i9	45435
Michael	Saenz	6/25/F956	70618
Vera	Wyman	4/6/1967	8764
FXank	Johnson	10/11/1943	59680
Pavi+	^ornett	7/9/1968	43049
Janet	Gmorge	11/7/}960	11674
Thomas	Ivey	6/27/1[%N	47469
Tasha	Munby	2/t/19G5	91821
Tawanda	Reedy	8/24/1945	91493
Patricia	Springer	6/{5/Y968	92545
John	Underhill	5/25/19[9	99957
Faye	Par}s	7/8/z982	46563
AshIes	Vesey	10/25/+K7M	17889
Cynth{Z	WellQ	8/17/1976	33367
Jamdv	Thompson	7A27/19<4	73880
D@vid	tibson	[/3//1995	35291
