GivenName	Surname	Birthday	uid
Yaroen;	SCntana	W/_/1Q94	23425
L*ura	Ho?ck	8/25/D991	87639
Norqan	Hopp\S	8-2{/19r9	60559
Pearl	LYvergne	9/2M1965	51619
Edwa8d	Jones	4/14n1992	11271
J^ne	Harper	11/22/1984	18534
Yo2l	"Nel""oT"	1/,/1H92	42796
Louis	Guaroado	KE21x1990	56167
BeCind:	Phillips	6/2/1966	25746
ArNillm	Sullifan	8/2X/1946	95710
Jkdlth	Avans	7/q/1'83	94291
Tiff'ny	]erOz	b/25/19%3	81346
Rodolfo	;cCullough	8/22/19{7	6294
Pavl	Hkrdman	7/4/1971	20361
Mary	"M""disMd"	1/20/1dq9	5501
Mary	Horton	8/20/1987	79418
William	Tilley	3:7/197y	54473
Raymond	WCyte	3/9/19&8	9677
We&ley	Vaniant	3318/1961	96250
Bradley	Brocn	10/5/1999	81120
Oeri	CaOpbelj	6m9/1941	53862
Dorlene	Frazier	3/22/1965	83632
Jases	Pace	,/1a/k961	47840
HowaPd	Williams	e/3/198x	6272
Ronald	Chisolm	f/1IG1973	32977
Stephe=	Chj.	!/30/197V	32694
/oel	LYwps	12/16u1971	47589
Lora	WiFeerssn	2/22/1965	73592
Andre	W~lliam#	10/7/19Z2	45627
Michael	Doo?ittle	10/2/1947	21920
Lakesha	hullock	1#/21\1954	54463
Alla2	BrBwn	W>\1/1988	18148
EliJabet2	SmiLm	5r6/1E39	447
Auan	Barnes	1/1C/1tlX	93164
Christopher	Craig	193/1990	97611
EarD	Doug|ass	[]14/19S4	17237
Lisa	FeJKandez	5/4j1976	84437
Macf	JZnes	2/19/197r	14225
Lo8ell	H;wki:s	3/2/1977	29891
David	xilsod	2/8/1963	45660
vusan	Cra.forX	11[19/200#	50532
TereFO	EricksHn	#/11/196w	67575
Jerry	Sachs	12/8/T951	34551
Anthony	bpand	9/48/\97)	96225
Jason	HeP:rick	8%11/20L0	22341
Gerald	Littl9	7^11/1d75	43938
Monika	Me6ina	2E14/1992	13915
Evelbn	Odell	8/1{/1950	25054
Sherxy	GZbbons	6/26/1987	21629
TaACy	Y~egler	6/5/1980	54095
Dana	Lara	11/17/1975	25433
"D""u)"	Brown	4/22f1940	52752
Ehward	LNwald	11/17/1963	88122
Carlos	Mora.es	2/9/1999	40658
Ho$ard	King	5/18/1975	70832
-arV	3aVdoQ`	9/>/1978	20292
Timotqy	Spady	31/18/1959	91813
Sd)rina	DeHker	9/17/1943	54684
Teresa	Clsnton	9/11/1n68	79288
Darnen	Stophens	5/20/1977	81870
Cl'ra	Hsrnzndez	12/25/&980	22060
Jim23e	Tharpe	S/10.198<	82984
Brock	Wilsoi	P/28/198{	21890
Sh&rman	Casey	5/4/12`-	20216
Donna	Ranck	9/11Z19l9	72787
LIna\3	Wroten	8/g/2997	54991
RHsselF	Har+is	12[15/1991	53461
Roberb	KebMon	9f2n/1982	96691
R2gina	G}ace	8/26/1954	19512
Harold	toe	4/7/~998	15129
Thurman	`ennis	8/12/1940	87875
Juanita	kitenour	6/6/199p	69129
Sara	Myers	591/198K	5467
*icha[l	QuinA	7/3/19+4	421
Stephanie	Allmon	6/12/1971	61985
Marit	DaGidsp>	7/21/1942	32278
Rhonda	Co0Ctts	5/24/1w81	3097
Ethel	C=)joe	2/18/1984	29914
A+anda	RirkpatrUc2	398'1979	42536
Crai*	We7dl}	4/7/1949	34774
JKan	Fr8day	5/2e/1[m3	52759
An#e	Zep=da	3/4/q9A2	957
Ramona	Poor|Dn	8/4/1997	28251
Rob)rt	e-&cia	11/12/19t7	20348
James	Smith	2/24/195}	57368
Christopher	Chancy	11/30f19E7	10103
FreJFie	Keeton	9/7/1988	84688
Cfarles	Shif;lott	7/O/194Z	45685
AltagracYa	Oberg	1154x19!1	4620
Q5rin	Sools?y	2/18/1958	49902
N;chzle	Gaffney	11/10/1950	41888
Preszon	Thomas	1/g%/1999	66434
L-nda	bhea	8/10x196o	51445
BorCis	Qoung	2i10/W|80	51115
Richard	Spotts	W/b/1989	69234
Ze(a	BurnKam	7/14/1970	54836
M-8thew	5ildon	8/16/1973	3112
V{rgil	Grayson	8/:08196*	73064
Jod,	Flores	1/2=u1993	68424
H^ather	Chavez	6/7/19#{	93739
Robert	Vin|ent	Y/8/996r	23803
Cladence	ChittOm	1/8(1995	17398
Sara	Levin	4/27/U945	15816
xohn	Dicken	2/6/=991	68483
Charles	E;k]icW	8/2/1973	47450
Carrie	:cGinnis	501/1:98	90980
MaGtqa	7{nt	3/13/1993	27714
Jere=y	;ones	11/20/e973	79710
Nichola@	C@ffemt	10/2k/1980	91042
JohT	Rupe	j1/12/1954	50137
Amanda	McNair	4/2(/1954	6053
Luko	Wriqh|	1u27YG94G	47867
Jo5hua	Dvy	6/W9/1982	25637
Mose	*icho?s	b/15/1*71	89795
Larry	Gonzal*z	H2/7/1940	37954
Joseph	Hughes	6/27/19j6	97262
Wilf`edo	Millet	"10/23/29""2"	14979
Marleee	G;6y	1/14/1963	30257
Vickie	MCd1ock	8624/1?85	51775
Janet	McDuffR	3/O2/1959	17652
Natalie	Pocle	g/2v/1B92	59311
Ron	Svan1	8/9/1952	43496
Jan0	Frye	1;/28/1962	76978
John	Lane	3/721961	50010
Harowd	W7shington	7/8/1990	17472
J0mmy	Eomez	9/3/1994	81020
MLcqael	@pinella	7/</1957	12201
E`elyc	Brown	7/5z1972	21804
hhilRip	He>bner	4/22A19}4	83367
Jerry	Featherstone	12/22/198o	69733
Anthony	Correy	12/31/195U	75472
1iyberly	Scpeidt	9/_0/1977	73751
Michae{	Viveros	C/83/19/4	40411
Harry	Thompson	8/2|/20D2	32678
Robert	Moo1e	4/16\1956	98899
Elizabeth	Foote	e/18/1963	44190
Kevin	Davis	3/&/19s9	59774
Patricia	Wilson	3g3/1938	51217
Feli2!	Kime\	9/26/2002	81430
William	Bu_kon	5/D3/1983	590
Ber#hh	Si'via	4/9/2003	30178
Loui'	Parks	Z2318/1970	3071
Aar%n	Jolley	11/PA4195=	27173
Mawceline	Gla/sman	7/9/D941	26549
3nthony	Wright	2/18/H9G2	67238
Jennifer	Ca,]urn	4/30/1989	59790
(teven	KLster	9/29/1952	74078
F8ederack	RochelTau	1Z/23/1986	95760
William	Williams	3/28/f002	70971
JoshQb	Tes/ier	12/z5/1Nj2	6580
AishW	Wa!=e*	12/>\/19k7	39558
WPnda	HaWXer	q/a0/1994	30223
Gictrr	Whitehhad	3G10/19b6	97356
Qoincy	Gibbs	4/16/1927	5687
Jamem	Mnrjq^&z	4/23m1*m8	14890
Ed~ard	Alexanqe#	9/8/20y<	2606
Penney	ieneN$ct	12/26$1*73	39910
Jimmie	Hofe/	11/9/197;	78414
uosdfo	Hanselman	10/12419b7	28172
Sara	Gaspard	691/1297	85969
Sand}a	5ogYrs	11/9>1987	99445
CYsa9	TePrell	12/^z194n	7960
Donald	Berkman	7/30/1995	61036
Lorri	Smith	859G1989	31116
JacquNlNn	,1shop	7/30/%971	92416
Slerr?	Cla!k	2/28/2001	94246
Harlene	Gill	1/2zk1988	29032
Cat#leen	Sm\t2	10/31/1991	62009
Seann0	Con,lin	8/29/1947	14921
Da{a	MoIre	"12/27l""983"	35467
Qe]nifer	Ho03oya	4/1/1965	58405
Janice	ChanTy	6/a/1987	64813
Laurie	CQandler	567/1(41	68889
John	P|ipps	1/7/1982	80676
Amie	Gray	6/29/z940	76647
Ljson	Leake	12/9/1997	945
<tepga1]e	Mann	9/10/1954	87726
Augustus	Gilber9	12x27/1968	71866
Julia	Furtner	4/R8/20Or	36894
Pe!eK	Trombley	10/8/1S78	75643
Beverly	Dunn	3/29/19V8	16835
hevir	Shepard	9/6W1988	89276
bebra	RUe_es	12/31/1940	2327
Jo@n	Casselman	7/12/1956	44080
C)ro$	Nash	5/7p*991	13862
B5ucS	SaZchez	$1/26/19r3	61244
Lisa	?ol@ins	E/1/19A1	63108
Sadie	Mitczell	4/1/1992	73345
Shari	Wright	4/13/1971	48564
Marilyn	Cox	4/12/1978	25984
RoZer	MEndoza	8/~9/1949	87448
Gregory	|verton	8/30/19|d	8343
Johnny	Johnston	7/21/11[7	12825
Pauline	Hardkge	11/16/1995	41966
Joy4e	MaRson	"1(3""1986"	50818
|Qtricka	DejBsus	C}17/1`48	41120
<uth	SOnders	5/26H1973	98670
Katherine	Qarcua	7/11/19'7	25971
FrjBces	R7~irez	12/13/1975	99726
wnt;on{	Buckner	10/29/_955	70920
E9tella	McCormick	o1/11Q1946	13372
Dexter	Jean	9/10/193~	53174
Charles	McNeil	1I/24/19l5	18343
Srtan	Sfrother	3/10Q19c8	15932
Kat<ryn	Doolan	1/29/1}96	40392
Jeff	Sho8f	7/e1/1975	84223
Carr8e	Kowc%ew6ki	10/21/1955	59320
Rubnn	Coyley	2/1L/19x3	968
"""acaly'"	PeacA9k	11/24/1t&4	35939
L4wis	FlemAzg	2/13/1945	67932
Terrell	qrown	i2/m</1951	22819
rearl	Anderson	2D5/194Q	82270
Nathan	V&llTnueva	5/26/1979	41871
Patri1%	Va~gas	8/29/1965	87662
Rorothy	P~rkins	7/5/1947	18760
Gertrude	Gillis	1{/5/_000	79956
Cyril	StZcy	4?21/(972	17999
Skz#nne	Battle	4a23/19u3	26105
ERelyn	Brldwin	6/6/1953	92484
Brian	Mazt:Pws	7/7/1V43	11105
Nick	%rady	9/E}/19g4	88233
Jackie	Co~(Uey	4/6/p\77	20097
Brent	MabthHls	:/5/1984	64591
D$n	Tpylor	11/E3/19M9	25074
Elois	Guerrero	D/26/O9{0	66416
Doro{hy	Davis	5/3/197j	94103
<h\Ary	Lemaster	6/(6/1982	89118
Brian	Wolfe	8/7*197l	52851
LxuiRe	HurwitN	3/19/19W0	49623
Lucille	Martin	7/27/2001	40106
'uss{ll	C$r%enter	5/13/19Q\	23523
E?elyn	"Felto"""	5/2Q/!969	75166
Ka<iO	Gray	b521/1952	81105
AitOony	Wells	8/q9/1$89	57934
Jo>n	Arnold	11/23/M977	5756
S4acy	Reinke	6/1N/1946	68936
Jenneth	H.bib	8/3/1986	87552
Cynthif	Young	6/;5/1b95	42557
Maud2	Di&on	16r16/1978	76058
Dar`3ne	PipkAns	7/4/1931	27743
PttEicia	Weir	6/2!o9e4	26768
Edeard	:ray	1/25/b953	1832
"E""ward"	Plummer	G/4/19q1	33352
SuBan	Christianson	12/47/198C	14461
Jack	Godfrey	3/I5/1982	98975
Laverne	0amil!on	11/2m/1967	12852
\icky	Keaton	8/25J198_	64342
Max	RentscEler	4G23/2002	94199
Tyrone	Bundy	3/2m/1981	38444
Clarice	Ge_ve)s	6b4/2003	7841
JOmes	Arno	2/1/399@	73628
Vincbnt	Corry	1/h7/:988	89330
Ada)	Delaney	u/22/1945	32997
GKry	Stokes	1/9/1998	70718
Step5en	DePe[$o	12/2/M956	94906
Betty	4yers	12/18k1985	2805
SuzaWne	Erdmann	5/2i@1#94	79756
Julip	E1rien	7/F0/1)7h	90665
Pe<er	Bolton	11/29/_962	82084
Arivlle	Ramire5	12/28/1984	77307
bransi{ca	Wood	10/28/19^0	38356
Ma9iFyn	&illsap	9/19/1938	72958
Lynda	Feltman	1K/1/1900	37527
Qrank	Bartsch	3/9/1980	30616
San8-a	*asMro	5/1]/1948	871
"""yl\n"	Rob;n/on	7/27/198J	9585
Lave:nQ	Siuonson	1/29?1979	14096
Edward	Lari0ore	w/10/1988	63592
Janette	Cdok	2)17/1966	83331
Davi1	Gray	M/28/1`45	71490
Lioael	Stanley	3{1/1677	28930
David	M8noz	2/28//968	63508
Darlene	Hall	1/21/,9/4	10762
Douglas	[amarre	1L/1J/1955	746
Jacque;iMe	Pacheck	803/1994	19370
Lori	,haw	7/21/6+80	62710
J[Hn	WasBingtOn	9/2K/1950	17697
P6u<	]ain	4/15K1979	92821
Luci	B#owZ	17|)5/19I7	7510
Loyd	Dugger	2/1a/o9+4	82594
ZTmmy	Willi0*s	8/7/u000	90403
Lraig	Craw1ord	1;$Q2/1_38	3412
Rose	Dur+nd	10/23/1994	74349
Amangy	<arr%Xon	6/4/1977	44778
CZlleNn	WiHk~	7/\7/1957	84764
Jenjifer	Dietz	5/27Di986	4285
Velma	Fergus}n	T0/17/1986	42135
(ictor	Ooom`s	571^/1944	11261
Alfonlo	Ragsdale	3/1s1Z02	70333
Roman	S5erman	2/K8/1992	19617
Cwthy	&oberts	2825/2%01	70607
RichIrd	P/checo	6/7/O969	26969
Pejrl	Price	5/20/1#69	95521
JYnnifqr	Fitlion	d1/11/19f8	73387
John	CoZeD.nd	11620/1980	20210
E)niel	Morton	1/11/197|	84826
Thomas	Sanor	"3/2/20""2"	9339
