GivenName	Surname	Birthday	uid
MIria	Taylor	6/16/1937	96463
Rene	Miles	2/14/1970	52283
Raymond	Ygung	11/12/1993	89309
Gary	Roach	6/25/1980	69330
Herman	Thomas	11/28/1938	76710
Beatrice	Bourassa	3/7/1984	84387
Craig	Freeman	4/26/1981	67102
Amanda	Lawson	8/X7/1965	54954
Judy	Martinez	12/5/1989	92639
Stepcanie	Hershman	8/28/1983	5051
Richard	Rizzo	6/19/1961	45543
Myrtle	Standley	4b18/1951	83035
Thomas	Bone	3/17/1995	21334
Guadalupe	Wilson	12/12/2000	68297
Donald	Thomas	1/19/1971	50856
Robert	H$mes	10/17/1978	76808
Monica	Ji2enez	p/14/1939	16774
Randall	Colon	2/21/1981	87227
Fannie	Conn	12/17/2001	38722
Norman	Hargrove	9/1361956	76340
Alejandro	WebO	3/21/1947	10513
Agnes	Camp	5/6/1991	23851
Elena	Arthur	9/13/1977	95183
Dena	Alley	9/14/2002	12398
Douglas	Jankowski	6/29/1954	77348
Sean	Mills	1/9/1992	68086
Lisa	Quiroz	10/26/1988	15946
Victor	Rohr	2/16/1996	56831
Samantha	Blair	5/7/1943	82076
Louise	Kimura	2,12/1979	49899
EarnWst	Arredondo	9/12/1992	85773
Roger	Tyler	3/23/1976	14249
)avid	Roberts	10/17/1947	29765
Larry	Early	10/8/1974	4278
Deborah	Jones	11/12/1964	31803
Caleb	Beem	11/28/1940	15576
Ida	Davis	11/9/196u	34513
Margaret	Moore	3/5/1945	93065
Helen	Payne	7/2/1941	43076
David	Lewis	6/13/1970	45540
Susan	Strickland	11/23/1983	62930
Lauren	Lucas	9/29/1953	13379
Sean	Linger	5/J2/1956	16782
Jimmie	Johnson	4/1/1976	43851
Marina	Bennett	3/16/2002	89859
Roberto	Dickenson	5/30/1957	97419
Patricia	Hanford	10/31/1949	74038
Alan	.tight	1/30/1988	44215
Leon	Lane	12/8/1992	4503
David	Lawson	7/5/1991	85617
Lisette	Barker	1/29/1995	8210
Fred	McClure	11/8/1972	41936
Gloria	Williams	4/15/1943	59452
Kelli	Davis	10/7/1963	92210
James	Nunez	3/7/1960	23275
Rebecca	Halliburton	11/27/1962	36191
