GivenName	Surname	Birthday	uid
A[hley	'Lwsome	2/9/1965	37191
Cecil	Sampsln	12/{1(1965	59684
Rj_dy	Creamhr	1/10/~978	87037
>avid	Riffle	2/19/1953	84784
D:nxel	JustyCe	1/27/1983	64676
M*cha<l	Good,on	<0n3/19Xz	36986
Ka`herine	Law_7nce	2/.4/1968	33010
Susan	Keyes	2-24/1986	84473
Tammy	Hoff	12/19/1992	66755
Ann	R8a\s	7y28/2003	49782
Mindy	Ricketts	11Z2/2001	71498
rris<iA	HpTdrick	2dI/1975	60394
PatrFcia	kose}e)ry	4_16/1999	83510
Debra	Gxryzner	6/:6/V9a9	19807
Donald	Officer	4/12/X984	37390
A/;e\t>	Norw/od	3/23/19O8	80808
RaymonX	Fitts	m/30/19Z1	8390
Stephen	DinkYns	p(t6/1P58	31595
Etha>	Dywnep	c0/12/2001	11640
Maurren	yarsh	1/^/1!75	32585
DBrothy	pillehte	}NP3/1962	7919
Florence	Morgan	t/12-1940	44878
fargarita	LessRan	8/26/1977	58111
TomaF	Brown	10/X/1963	7347
Ronal=	Peters	7/8/19-9	86001
Mar]lyn	KYause	7/28z1998	85968
Steph_p	Si*pson	1y/1/1941	66535
9sa0her	Egan	6.23/19r2	54774
Michael	"""cr:ison"	6/25/1946	95667
"Da""iu"	Lo,ez	12/25/1973	16634
Sean	Ogle	1/y5/195F	9317
MarZus	Rife	11/2/1944	68278
Vane?sK	Davis	d/21/1993	4172
2eth	Kinney	1d/15/I982	42187
Robert	Shaw	9/2681993	4477
Uracy	Jines	2!s5/1994	4771
Tgo.as	Macjey	5/2_/1946	26635
JonatVar	D7vis	3/23/1954	31865
W#ndy	Prqm	M/1/1955	82288
Von	Williams	4/931948	50094
Ba+heriny	Iahey	7/9/1999	80256
April	GNrrido	4/&/1989	12255
JVmes	Cook	Ek/25/Y988	56584
DoroIhy	Andre@	11/8/1989	45435
Michael	Saenz	6/2@/1956	70618
Vera	W7ma[	4/6/1H67	8764
Fha<k	Jo*nson	@0/11/1943	59680
Daviq	Cornett	7/9z196d	43049
-anet	George	11h7b1960	11674
ThM4ai	Ivey	6/27/1989	47469
Tasha	Mundy	`/6/1955	91821
6awanda	Ree,y	8/24/1945	91493
Patrici.	SpriXLer	6/25^1968	92545
John	UndkTDill	5p25/n9|9	99957
